Date,Currency_Code,Impact,Actual,Previous,Actual_Val,Forecast_Val,Previous_Val
2018-01-15T00:01:00.000Z,GBP,med,0,1,0.7%,,-2.6%
2018-01-15T00:01:00.000Z,GBP,med,0,-1,1.1%,,1.2%
2018-01-15T10:00:00.000Z,EUR,low,1,0,22.5B,22.3B,19.0B
2018-01-15T10:00:00.000Z,EUR,med,0,0,26.3B,,18.9B
2018-01-15T18:15:00.000Z,GBP,,0,0,,,
2018-01-15T21:00:00.000Z,NZD,,0,0,,,
2018-01-15T21:45:00.000Z,NZD,low,0,1,0.5%,0.5%,1.2%
2018-01-15T23:50:00.000Z,JPY,,-1,1,0.2%,0.4%,0.4%
2018-01-15T23:50:00.000Z,JPY,med,-1,1,3.1%,3.2%,3.5%
2018-01-16T00:30:00.000Z,AUD,low,0,1,4.5%,,0.1%
2018-01-16T00:30:00.000Z,AUD,low,0,1,6.7%,,2.1%
2018-01-16T04:30:00.000Z,JPY,low,1,0,1.1%,0.3%,0.3%
2018-01-16T07:00:00.000Z,EUR,med,0,0,0.6%,0.6%,0.6%
2018-01-16T07:00:00.000Z,EUR,low,0,0,0.8%,0.8%,0.8%
2018-01-16T07:00:00.000Z,EUR,low,0,0,1.6%,1.6%,1.6%
2018-01-16T07:00:00.000Z,EUR,med,0,0,1.7%,1.7%,1.7%
2018-01-16T07:00:00.000Z,EUR,low,0,0,-0.3%,,0.5%
2018-01-16T07:00:00.000Z,EUR,low,0,0,1.8%,,3.3%
2018-01-16T09:15:00.000Z,GBP,,0,0,,,
2018-01-16T09:30:00.000Z,GBP,high,0,0,0.4%,0.4%,0.3%
2018-01-16T09:30:00.000Z,GBP,high,0,0,3.0%,3.0%,3.1%
2018-01-16T09:30:00.000Z,GBP,low,1,0,0.3%,0.2%,0.3%
2018-01-16T09:30:00.000Z,GBP,low,1,1,3.3%,2.9%,3.0%
2018-01-16T09:30:00.000Z,GBP,med,-1,-1,0.1%,0.4%,1.8%
2018-01-16T09:30:00.000Z,GBP,med,-1,0,4.9%,5.3%,7.3%
2018-01-16T13:30:00.000Z,USD,med,-1,1,17.7,19.0,18.0
2018-01-16T17:00:00.000Z,CHF,high,0,0,,,
2018-01-16T23:50:00.000Z,JPY,med,1,0,5.7%,-1.4%,5.0%
2018-01-16T23:50:00.000Z,JPY,med,1,0,4.1%,-1.0%,2.3%
2018-01-17T00:00:00.000Z,NZD,med,0,0,-2.2%,,-0.9%
2018-01-17T00:30:00.000Z,AUD,med,1,0,2.1%,0.0%,-0.6%
2018-01-17T00:30:00.000Z,AUD,med,0,0,1.5%,,1.6%
2018-01-17T10:00:00.000Z,EUR,med,0,0,0.9%,0.9%,0.9%
2018-01-17T10:00:00.000Z,EUR,med,0,0,0.4%,0.4%,0.1%
2018-01-17T10:00:00.000Z,EUR,med,0,-1,1.4%,1.4%,1.5%
2018-01-17T11:45:00.000Z,GBP,,0,0,,,
2018-01-17T14:15:00.000Z,USD,med,1,1,77.9%,77.4%,77.1%
2018-01-17T14:15:00.000Z,USD,med,1,-1,0.9%,0.5%,0.2%
2018-01-17T15:00:00.000Z,CAD,high,0,0,1.25,1.25,1.0
2018-01-17T15:00:00.000Z,CAD,high,0,0,,,
2018-01-17T15:00:00.000Z,USD,low,0,0,72.0,72.0,74.0
2018-01-17T15:00:00.000Z,USD,,0,0,,,
2018-01-17T16:15:00.000Z,CAD,high,0,0,,,
2018-01-17T19:00:00.000Z,USD,,0,0,,,
2018-01-17T20:00:00.000Z,USD,,0,0,,,
2018-01-17T21:00:00.000Z,USD,low,0,1,57.5B,,23.2B
2018-01-17T21:30:00.000Z,USD,,0,0,,,
2018-01-18T00:01:00.000Z,GBP,med,1,0,8.0%,-1.0%,0.0%
2018-01-18T00:30:00.000Z,AUD,high,-1,0,5.5%,5.4%,5.4%
2018-01-18T00:30:00.000Z,AUD,high,1,1,34.7,15.0,61.6
2018-01-18T03:35:00.000Z,JPY,,0,0,,,
2018-01-18T03:45:00.000Z,JPY,,0,0,,,
2018-01-18T04:30:00.000Z,JPY,low,0,0,0.09%,,0.2%
2018-01-18T04:30:00.000Z,JPY,med,0,0,0.5%,,0.6%
2018-01-18T04:30:00.000Z,JPY,med,0,0,3.6%,,3.7%
2018-01-18T07:00:00.000Z,CNY,med,-1,0,9.4%,10.2%,10.2%
2018-01-18T07:00:00.000Z,CNY,,1,0,6.2%,6.1%,6.1%
2018-01-18T07:00:00.000Z,CNY,,1,0,6.8%,6.7%,6.8%
2018-01-18T08:15:00.000Z,EUR,,0,0,,,
2018-01-18T08:15:00.000Z,,,0,0,,,
2018-01-18T13:30:00.000Z,USD,med,1,1,"1,302.0k","1,295.0k","1,298.0k"
2018-01-18T13:30:00.000Z,USD,med,-1,1,"1,192.0k","1,275.0k","1,297.0k"
2018-01-18T13:30:00.000Z,USD,med,-1,1,22.2,25.0,26.2
2018-01-18T13:30:00.000Z,USD,med,1,0,216.0k,249.0k,261.0k
2018-01-18T13:30:00.000Z,CAD,,0,0,,,
2018-01-18T14:30:00.000Z,EUR,,0,0,,,
2018-01-18T17:30:00.000Z,EUR,,0,0,,,
2018-01-19,,,0,0,,,
2018-01-19T07:00:00.000Z,EUR,low,0,0,0.2%,0.2%,0.1%
2018-01-19T07:00:00.000Z,EUR,low,0,0,2.3%,2.3%,2.5%
2018-01-19T08:15:00.000Z,CHF,med,0,0,0.2%,,0.6%
2018-01-19T08:15:00.000Z,CHF,med,0,0,1.8%,,1.8%
2018-01-19T09:00:00.000Z,EUR,low,0,-1,37.8B,,35.9B
2018-01-19T09:00:00.000Z,EUR,low,0,-1,32.5B,,30.8B
2018-01-19T09:00:00.000Z,,,0,0,,,
2018-01-19T09:30:00.000Z,GBP,high,-1,-1,-1.6%,-1.0%,1.2%
2018-01-19T09:30:00.000Z,GBP,high,-1,-1,-1.5%,-1.0%,1.1%
2018-01-19T09:30:00.000Z,GBP,high,-1,-1,1.4%,2.6%,1.6%
2018-01-19T09:30:00.000Z,GBP,high,-1,0,1.3%,2.6%,1.5%
2018-01-19T13:30:00.000Z,CAD,med,1,-1,3.4%,2.0%,-0.4%
2018-01-19T13:45:00.000Z,USD,,0,0,,,
2018-01-19T15:00:00.000Z,USD,high,-1,0,94.4,97.0,95.9
2018-01-19T18:00:00.000Z,USD,,0,0,,,
2018-01-19T18:30:00.000Z,USD,,0,0,,,
2018-01-22,JPY,high,0,0,,,
2018-01-22,EUR,,0,0,,,
2018-01-22T09:30:00.000Z,GBP,med,0,0,,,0.5%
2018-01-22T13:30:00.000Z,CAD,low,-1,1,0.7%,1.2%,1.5%
2018-01-22T13:40:00.000Z,CNY,,0,0,,,
2018-01-23T00:00:00.000Z,JPY,,0,0,-0.1%,-0.1%,-0.1%
2018-01-23,EUR,,0,0,,,
2018-01-23T00:00:00.000Z,JPY,med,0,0,0.0%,0.0%,0.0%
2018-01-23,JPY,,0,0,,,
2018-01-23,,high,0,0,,,
2018-01-23,,,0,0,,,
2018-01-23T04:30:00.000Z,JPY,low,1,0,1.0%,0.8%,0.3%
2018-01-23T05:30:00.000Z,JPY,med,0,0,0.9%,,3.8%
2018-01-23T09:30:00.000Z,GBP,med,0,1,25.1B,,12.9B
2018-01-23T09:30:00.000Z,GBP,med,1,0,2.6B,5.0B,8.7B
2018-01-23T09:30:00.000Z,GBP,med,-1,-1,1.0k,4.3k,8.1k
2018-01-23T10:00:00.000Z,EUR,high,0,0,31.8,,29.0
2018-01-23T10:00:00.000Z,EUR,med,0,0,,,50.7
2018-01-23T10:00:00.000Z,EUR,med,1,0,20.4,17.7,17.4
2018-01-23T10:00:00.000Z,EUR,med,1,0,95.2,89.6,89.3
2018-01-23T11:00:00.000Z,GBP,med,1,0,14.0%,12.0%,17.0%
2018-01-23T15:00:00.000Z,EUR,med,1,0,1.3,0.6,0.5
2018-01-23T23:30:00.000Z,AUD,low,0,-1,0.27%,,0.1%
2018-01-23T23:30:00.000Z,USD,,0,0,,,
2018-01-23T23:50:00.000Z,JPY,med,1,0,14.9%,12.4%,17.2%
2018-01-23T23:50:00.000Z,JPY,med,-1,0,9.3%,10.0%,16.2%
2018-01-23T23:50:00.000Z,JPY,med,-1,-1,359.0B,535.0B,113.4B
2018-01-23T23:50:00.000Z,JPY,med,-1,1,86.8B,267.7B,113.4B
2018-01-24T00:00:00.000Z,AUD,low,0,1,0.2%,,0.3%
2018-01-24T05:00:00.000Z,JPY,low,0,0,108.3,,108.6
2018-01-24T08:00:00.000Z,EUR,low,-1,0,58.1,58.6,58.8
2018-01-24T08:00:00.000Z,EUR,low,1,0,59.3,58.9,59.1
2018-01-24T08:00:00.000Z,EUR,,1,0,59.7,59.2,59.6
2018-01-24T08:15:00.000Z,EUR,,0,0,,,
2018-01-24T08:15:00.000Z,EUR,,0,0,,,
2018-01-24T08:30:00.000Z,EUR,med,1,0,57.0,55.5,55.8
2018-01-24T08:30:00.000Z,EUR,med,-1,0,61.2,63.0,63.3
2018-01-24T09:00:00.000Z,EUR,low,1,0,58.6,57.9,58.1
2018-01-24T09:00:00.000Z,EUR,med,-1,0,59.6,60.3,60.6
2018-01-24T09:00:00.000Z,EUR,med,1,0,57.6,56.4,56.6
2018-01-24T09:05:00.000Z,CNY,,0,0,,,
2018-01-24T09:30:00.000Z,GBP,med,0,0,2.4%,,2.3%
2018-01-24T09:30:00.000Z,GBP,med,0,0,4.3%,4.3%,4.3%
2018-01-24T09:30:00.000Z,GBP,med,0,0,2.5%,2.5%,2.5%
2018-01-24T09:30:00.000Z,GBP,med,0,0,8.6k,,5.9k
2018-01-24T14:00:00.000Z,USD,med,-1,1,0.4%,0.5%,0.5%
2018-01-24T14:45:00.000Z,USD,low,1,0,55.5,55.0,55.1
2018-01-24T15:00:00.000Z,USD,med,-1,-1,5.57M,5.7M,5.81M
2018-01-24T21:00:00.000Z,NZD,,0,0,,,
2018-01-24T21:45:00.000Z,NZD,med,-1,0,0.1%,0.4%,0.5%
2018-01-25,EUR,high,0,0,,,
2018-01-25T07:00:00.000Z,EUR,med,1,0,11.0,10.8,10.8
2018-01-25T09:00:00.000Z,EUR,high,-1,0,108.4,109.3,109.5
2018-01-25T09:00:00.000Z,EUR,high,1,1,127.7,125.3,125.4
2018-01-25T09:00:00.000Z,EUR,high,1,0,117.6,117.0,117.2
2018-01-25T11:00:00.000Z,GBP,med,0,0,,13.0%,20.0%
2018-01-25T12:45:00.000Z,EUR,,0,0,0.0%,0.0%,0.0%
2018-01-25T12:45:00.000Z,EUR,med,0,0,-0.4%,-0.4%,-0.4%
2018-01-25T13:30:00.000Z,CAD,high,-1,1,0.2%,0.8%,1.5%
2018-01-25T13:30:00.000Z,CAD,high,1,0,1.6%,0.9%,0.8%
2018-01-25T13:30:00.000Z,USD,med,1,1,231.0k,235.0k,220.0k
2018-01-25T15:00:00.000Z,USD,med,-1,-1,625.0k,675.0k,733.0k
2018-01-25T23:30:00.000Z,JPY,med,-1,0,1.0%,1.1%,0.6%
2018-01-25T23:30:00.000Z,JPY,med,1,0,1.3%,1.1%,1.0%
2018-01-25T23:30:00.000Z,JPY,,-1,0,0.3%,0.4%,0.3%
2018-01-25T23:50:00.000Z,JPY,high,0,0,,,
2018-01-26,AUD,,0,0,,,
2018-01-26T07:45:00.000Z,EUR,med,1,0,113.0,112.0,112.0
2018-01-26T07:45:00.000Z,EUR,low,-1,0,104.0,106.0,105.0
2018-01-26T09:00:00.000Z,EUR,med,-1,0,4.6%,4.9%,4.9%
2018-01-26T09:30:00.000Z,GBP,high,1,0,0.5%,0.4%,0.4%
2018-01-26T09:30:00.000Z,GBP,high,1,0,1.5%,1.4%,1.7%
2018-01-26T09:30:00.000Z,GBP,med,1,0,0.4%,0.2%,0.2%
2018-01-26T09:30:00.000Z,GBP,med,0,0,0.4%,0.4%,0.3%
2018-01-26T10:00:00.000Z,EUR,,0,0,,,
2018-01-26T13:30:00.000Z,CAD,high,-1,0,-0.4%,-0.3%,0.3%
2018-01-26T13:30:00.000Z,CAD,high,0,0,1.9%,1.9%,2.1%
2018-01-26T13:30:00.000Z,USD,med,0,1,0.6%,0.6%,-0.1%
2018-01-26T13:30:00.000Z,USD,med,1,1,2.9%,0.8%,1.3%
2018-01-26T13:30:00.000Z,USD,low,1,1,0.2%,0.4%,0.8%
2018-01-26T13:30:00.000Z,USD,med,-1,-1,-71.6B,-68.9B,-69.68B
2018-01-26T13:30:00.000Z,USD,med,0,0,1.9%,1.9%,1.3%
2018-01-26T13:30:00.000Z,USD,med,-1,0,2.6%,3.0%,3.2%
2018-01-26T14:00:00.000Z,GBP,,0,0,,,
2018-01-26T15:30:00.000Z,EUR,,0,0,,,
2018-01-26T16:00:00.000Z,,,0,0,,,
2018-01-29,EUR,,0,0,,,
2018-01-29T07:00:00.000Z,EUR,low,1,0,0.3%,0.2%,0.8%
2018-01-29T07:00:00.000Z,EUR,low,1,0,1.1%,1.0%,2.7%
2018-01-29T13:30:00.000Z,USD,med,0,1,0.4%,0.4%,0.6%
2018-01-29T13:30:00.000Z,USD,med,0,0,0.2%,0.2%,0.1%
2018-01-29T13:30:00.000Z,USD,med,1,0,0.4%,0.3%,0.3%
2018-01-29T16:00:00.000Z,EUR,,0,0,,,
2018-01-29T20:30:00.000Z,USD,med,0,0,,,
2018-01-29T21:45:00.000Z,NZD,med,1,0,"-2,837.0M","-3,420.0M","-3,439.0M"
2018-01-29T23:30:00.000Z,JPY,med,-1,0,2.8%,2.7%,2.7%
2018-01-29T23:30:00.000Z,JPY,low,-1,0,-0.1%,1.3%,1.7%
2018-01-29T23:50:00.000Z,JPY,med,1,-1,0.9%,-0.4%,1.9%
2018-01-29T23:50:00.000Z,JPY,med,1,-1,3.6%,2.2%,2.2%
2018-01-30T00:30:00.000Z,AUD,med,0,0,11.5,,6.0
2018-01-30T07:45:00.000Z,EUR,med,0,-1,0.6%,0.6%,0.6%
2018-01-30T07:45:00.000Z,EUR,low,1,0,2.4%,2.3%,2.3%
2018-01-30T07:45:00.000Z,EUR,low,-1,1,1.0%,1.6%,1.2%
2018-01-30T08:00:00.000Z,CHF,med,-1,1,106.9,110.8,111.3
2018-01-30T09:30:00.000Z,GBP,low,0,1,3.7%,,3.7%
2018-01-30T09:30:00.000Z,GBP,med,1,1,3.7B,3.4B,3.5B
2018-01-30T09:30:00.000Z,GBP,med,1,1,1.5B,1.4B,1.4B
2018-01-30T09:30:00.000Z,GBP,med,-1,-1,61.0k,63.5k,65.1k
2018-01-30T10:00:00.000Z,EUR,med,-1,-1,114.7,116.2,116.0
2018-01-30T10:00:00.000Z,EUR,med,-1,-1,8.8,8.9,9.1
